Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2014,Blue,Foreign Used,Automatic,86532.0,1250000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,84000.0,660000,Nairobi
Nissan,2015,Blue,Foreign Used,Automatic,63000.0,799000,Nairobi
Nissan,2015,Green,Foreign Used,Automatic,98848.0,2300000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,795000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,85000.0,670000,Nairobi
Nissan,2013,Gray,Foreign Used,Automatic,69852.0,1850000,Mombasa
Nissan,2014,Gold,Foreign Used,Automatic,75700.0,760000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,2700000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1240000,Nairobi
Nissan,2013,Black,Foreign Used,Automatic,45213.0,850000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,86532.0,1380000,Nairobi
Nissan,2014,Blue,Foreign Used,Automatic,45213.0,750000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,39000.0,700000,Mombasa
Nissan,2015,Silver,Foreign Used,Automatic,86532.0,840000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,97000.0,1280000,Mombasa
Nissan,2013,Gray,Foreign Used,Automatic,56321.0,1150000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,69400.0,2100000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,800000,Nairobi
Nissan,2014,Blue,Foreign Used,Automatic,66000.0,1250000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,84000.0,660000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,28000.0,2300000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,1300000,Mombasa
Nissan,2014,Pink,Foreign Used,Automatic,70384.0,730000,Kiambu
Nissan,2014,Silver,Foreign Used,Automatic,120000.0,1199000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,53200.0,735000,Mombasa
Nissan,2015,Red,Foreign Used,Automatic,58855.0,790000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,215437.0,2300000,Mombasa
Nissan,2014,Blue,Foreign Used,Automatic,86532.0,700000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,105000.0,1350000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,86532.0,1380000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,780000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,75000.0,780000,Mombasa
Nissan,2013,Gray,Foreign Used,Automatic,78000.0,800000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,69974.0,850000,Mombasa
Nissan,2014,Beige,Foreign Used,Automatic,95000.0,650000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,57000.0,1030000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,80432.0,1950000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,79761.0,680000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,86532.0,1380000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,144000.0,2050000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,699999,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,130000.0,745000,Mombasa
Nissan,2015,Pink,Foreign Used,Automatic,86532.0,850000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,49000.0,1490000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,65131.0,680000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1550000,Mombasa
Nissan,2013,Red,Foreign Used,Automatic,95362.0,1300000,Mombasa
Nissan,2014,Pearl,Foreign Used,Automatic,72000.0,1470000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,113000.0,1950000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,50000.0,1980000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,116000.0,950000,Mombasa
Nissan,2013,Black,Foreign Used,Automatic,76000.0,580000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,76214.0,750000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,37000.0,890000,Kiambu
Nissan,2014,Black,Foreign Used,Automatic,85000.0,2200000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,116000.0,1199000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,63000.0,620000,Mombasa
